TAZ_ID,pop_pct_min,pop_pct_non-min,pop_pct_low,pop_pct_non_low,dif_CO_sqmi,dif_CongVMT,dif_Retl60Trn,dif_Jobs60Trn,dif_HEdu40Trn,dif_Heal40Trn,dif_HwyAttrTm,dif_TrnAttrTm,dif_HwyProdTm,dif_TrnProdTm
81,0.754352031,0.245647969,0.72244898,0.27755102,-0.741615000000003,-362.8059499999981,-189,207,0,0,-0.006630000000001246,-0.17443400000000508,0.05923100000000403,-0.20341800000000632
82,0.772413793,0.227586207,0.7265625,0.2734375,-6.466003999999998,-8392.671899999987,-38,122,0,0,0.07686299999999946,-0.06871799999999695,0.0826279999999997,-0.09044299999999694
83,0.978098291,0.021901709,0.717528373,0.282471627,1.03541099999984,-7278.920099999988,-45,-396,0,0,0.00575200000000109,-0.15244900000000072,0.06885300000000072,-0.058333999999998554
84,0.153887983,0.846112017,0.231132075,0.768867925,0.3030829999999991,0,-521,-5709,0,0,0.028126999999997793,-0.044139999999998736,0.03098500000000115,-0.061764000000003705
85,0.149952696,0.850047304,0.149034749,0.850965251,3.6661599999999908,1178.7812699999922,-1172,-7091,0,0,0.043542999999999665,-0.06800800000000606,0.03774100000000047,-0.05982500000000357
86,0.143136297,0.856863703,0.147424512,0.852575488,2.082763,-866.7883999999904,-493,-5013,-30082,0,0.12386400000000464,-0.012282999999996491,0.13338999999999857,-0.05108200000000096
87,0.163602941,0.836397059,0.264102564,0.735897436,-0.9321669999999926,118.90510000000359,-487,-4547,-2098,-501.3334960000002,0.0768589999999989,-0.05926900000000046,0.055736000000003116,-0.05898299999999779
88,0.133802817,0.866197183,0.151162791,0.848837209,-0.717837000000003,74.79385000000184,-493,-5013,0,0,0.11704200000000498,-0.029991000000002543,0.1399499999999989,-0.006472999999999729
89,0.169934641,0.830065359,0.158415842,0.841584158,0.07648099999997271,-233.24689000000944,-493,-5013,0,0,0.039398999999995965,-0.035826000000000136,0.06931700000000518,-0.05323399999999978
90,0.172727273,0.827272727,0.14457831300000001,0.855421687,-0.6859929999999963,12638.593959999998,-493,-5013,0,0,0.06277100000000502,-0.09146199999999993,0.09074000000000382,-0.14206300000000027
91,0.167202572,0.832797428,0.144444444,0.855555556,5.143858000000023,2554.496699999989,-593,-4132,0,0,0.13077199999999323,-0.014472999999995295,0.10391299999999859,-0.06643700000000052
92,0.177929023,0.822070977,0.216260163,0.783739837,0.33659900000000675,382.02623999999196,-487,-4547,0,0,0.05566299999999913,-0.05627499999999941,0.044856999999996816,-0.06802299999999661
93,0.205555556,0.794444444,0.254545455,0.745454545,3.3634640000000218,49.65637000000061,-487,-4547,280,0,0.07472299999999876,-0.050487000000003945,0.10578900000000147,-0.07489799999999747
94,0.209726444,0.790273556,0.266871166,0.733128834,-1.5268159999999966,-604.5271000000066,-1138,-5929,280,0,0.0851930000000003,-0.019863000000000852,0.08213600000000199,-0.042392999999997016
95,0.280769231,0.719230769,0.256578947,0.743421053,3.8966020000000015,4822.130639999999,-593,-5500,0,0,0.09225800000000106,-0.06637500000000074,0.07868100000000311,-0.09176300000000026
96,0,1,0,1,4.781539000000009,-496.93839999998454,-493,-5013,0,0,5.230000000011614e-4,-0.056148999999997784,0.06620800000000315,-0.1124189999999956
97,0.166666667,0.833333333,0,1,7.9163500000000795,-771.1604999999981,-472,-4566,0,0,0.15882899999999722,-0.0036120000000039454,0.21654900000000055,-0.045493999999997925
98,0,1,0,1,-3.37466500000005,-2382.1757000000216,-586,-4982,0,0,0.3025700000000029,0.030712000000001183,0.30442400000000447,2.4100000000260025e-4
99,0,1,0,1,11.695020000000113,6723.910099999979,-493,-5013,0,0,0.15968300000000113,-0.04679099999999892,0.1755980000000008,-0.12687700000000035
100,0,1,0,1,-0.4712160000000267,358.49239999998827,-493,-5013,0,0,0.12587700000000268,-0.11008100000000098,0.22097699999999776,-0.1676789999999997
101,0.325396825,0.674603175,0.3,0.7,0.8582000000000107,-8880.744860000006,-493,-5013,0,0,0.2142029999999977,0.04586400000000168,0.2040140000000008,-0.03761300000000034
102,0.21754386,0.78245614,0.329787234,0.670212766,4.921411000000035,1508.6834999999846,-45,-396,0,0,0.08466299999999904,-0.06803900000000596,0.11707299999999776,-0.10630400000000151
103,0.426666667,0.573333333,0.313432836,0.686567164,0.38769700000000284,41.33790000001318,-45,-396,0,0,0.022811000000004356,-0.07169300000000334,0.1452460000000002,-0.11115999999999815
104,0.074074074,0.925925926,0.31147541,0.68852459,-0.5530579999999645,-2041.3209999999963,-538,-5409,0,0,0.18190799999999996,-0.13198799999999977,0.11317400000000077,-0.16731300000000005
105,0.273381295,0.726618705,0.329411765,0.670588235,-20.79468799999995,-18349.97499999986,-45,-396,0,0,-0.027244000000003155,-0.057472000000004186,0.01393900000000059,-0.08476599999999479
106,0.184118674,0.815881326,0.326343381,0.673656619,-41.25706300000002,-10187.82799999998,-493,-5013,0,0,0.07452400000000381,-0.11935400000000129,0.09060700000000566,-0.15639099999999928
107,0.352199323,0.647800677,0.466861598,0.533138402,3.2272760000000744,2868.066999999981,-465,-4116,0,0,0.036791000000000906,-0.03191799999999745,0.03831299999999871,-0.04062699999999708
108,0.315165877,0.684834123,0,1,-2.859805000000023,-755.2494999999908,-493,-5013,0,0,0.08294700000000432,0.05155200000000093,0.17989800000000145,0.047252000000000294
109,0.278719397,0.721280603,0.53869969,0.46130031,-1.5025919999999928,-382.80677000000287,-493,-5013,0,0,0.0767099999999985,-0.11393400000000042,0.07109799999999922,-0.1356919999999988
110,0.483167378,0.516832622,0.351903435,0.648096565,0.7511630000000196,690.4425000000047,-465,-4116,0,0,0.005974000000001922,-0.03376399999999791,0.018893999999999522,-0.014836999999999989
111,0.252475248,0.747524752,0.353846154,0.646153846,-81.17455599999994,-69133.20200000005,-45,-396,0,0,-8.320000000026084e-4,-0.02146900000000329,0.05595399999999984,-0.06743600000000072
112,0.182955072,0.817044928,0.273992674,0.726007326,-11.597857000000033,-9819.62030000001,-510,-4512,0,0,0.04268099999999819,-0.0447330000000008,0.0495580000000011,-0.060941999999997165
113,0.127516779,0.872483221,0.306122449,0.693877551,-30.48586299999988,-23667.012899999972,-465,-4116,0,0,0.002227999999995234,-0.10699100000000072,0.08285500000000212,-0.13390000000000413
114,0.964869776,0.035130224,0.9,0.1,-3.640186,-2061.3122100000037,-465,-4116,0,0,0.0020029999999984227,-0.12528600000000267,-0.002949999999998454,-0.06864200000000054
115,0.277777778,0.722222222,0.916666667,0.083333333,-34.70198499999992,-4963.515500000038,-493,-5013,0,0,0.10452700000000448,-0.16925799999999924,0.08278900000000178,-0.15452499999999958
