"","TAZ_ID","State","County","Town","RPA","pop_pct_min","pop_pct_non-min","pop_pct_low","pop_pct_non_low","nb_Jobs60Trn","nb_Retl60Trn","nb_HEdu40Trn","nb_Heal40Trn","nb_TrnProdTm","nb_TrnAttrTm","nb_HwyProdTm","nb_HwyAttrTm","nb_CongVMT_sqmi","nb_CO_sqmi","b_Jobs60Trn","b_Retl60Trn","b_HEdu40Trn","b_Heal40Trn","b_TrnProdTm","b_TrnAttrTm","b_HwyProdTm","b_HwyAttrTm","b_CongVMT_sqmi","b_CO_sqmi"
"84",84,"MA","Suffolk","Boston","MAPC",0.153887983,0.846112017,0.231132075,0.768867925,971876,106882,163581,4283.833496,33.067135,32.701641,22.8825,23.60994,0,14.017523,966167,106361,163581,4283.833496,33.005371,32.657501,22.913485,23.638067,0,14.320606
"85",85,"MA","Suffolk","Boston","MAPC",0.149952696,0.850047304,0.149034749,0.850965251,988462,110389,164975,4508.833496,33.045631,32.365177,23.491411,23.803221,99534.51923,249.633213,981371,109217,164975,4508.833496,32.985806,32.297169,23.529152,23.846764,100713.3005,253.299373
"86",86,"MA","Suffolk","Boston","MAPC",0.143136297,0.856863703,0.147424512,0.852575488,973134,107045,191884,4283.833496,37.092815,36.224464,30.366875,32.044048,205166.1747,416.011443,968121,106552,161802,4283.833496,37.041733,36.212181,30.500265,32.167912,204299.3863,418.094206
"87",87,"MA","Suffolk","Boston","MAPC",0.163602941,0.836397059,0.264102564,0.735897436,985091,111118,164975,4605.833496,33.560894,31.994482,32.188683,33.936779,205049.51,377.542808,980544,110631,162877,4104.5,33.501911,31.935213,32.244419,34.013638,205168.4151,376.610641
"88",88,"MA","Suffolk","Boston","MAPC",0.133802817,0.866197183,0.151162791,0.848837209,1028436,117989,212223,4620.833496,35.768295,34.84827,38.013714,39.712002,97099.67205,160.156563,1023423,117496,212223,4620.833496,35.761822,34.818279,38.153664,39.829044,97174.4659,159.438726
"89",89,"MA","Suffolk","Boston","MAPC",0.169934641,0.830065359,0.158415842,0.841584158,1033463,119976,214278,4620.833496,30.349508,29.676462,33.736675,35.345348,78698.84523,185.989638,1028450,119483,214278,4620.833496,30.296274,29.640636,33.805992,35.384747,78465.59834,186.066119
"90",90,"MA","Suffolk","Boston","MAPC",0.172727273,0.827272727,0.144578313,0.855421687,1029484,118658,214278,4620.833496,35.017052,33.654385,38.310658,40.236774,44062.36675,287.471684,1024471,118165,214278,4620.833496,34.874989,33.562923,38.401398,40.299545,56700.96071,286.785691
"91",91,"MA","Suffolk","Boston","MAPC",0.167202572,0.832797428,0.144444444,0.855555556,1004673,113517,195337,4508.833496,36.098309,34.787746,33.824268,36.151031,241520.9603,474.082974,1000541,112924,195337,4508.833496,36.031872,34.773273,33.928181,36.281803,244075.457,479.226832
"92",92,"MA","Suffolk","Boston","MAPC",0.177929023,0.822070977,0.216260163,0.783739837,946475,104656,164324,4133.833496,34.129379,32.668358,26.174562,26.897596,71588.13688,199.929455,941928,104169,164324,4133.833496,34.061356,32.612083,26.219419,26.953259,71970.16312,200.266054
"93",93,"MA","Suffolk","Boston","MAPC",0.205555556,0.794444444,0.254545455,0.745454545,981952,110400,163594,4605.833496,36.701237,35.215282,37.870922,40.79092,14416.95783,239.26179,977405,109913,163874,4605.833496,36.626339,35.164795,37.976711,40.865643,14466.6142,242.625254
