TAZ_ID,Town,Population,Households
1133,Swampscott,1825,831
1134,Swampscott,2531,1039
1135,Swampscott,1985,825
1136,Swampscott,1792,774
1137,Swampscott,2569,1047
1138,Swampscott,888,321
1139,Swampscott,776,358
1140,Swampscott,4768,1476
1141,Marblehead,2395,939
1142,Marblehead,3445,1394
1143,Marblehead,2215,874
1144,Marblehead,1555,604
1145,Marblehead,2568,1230
1146,Marblehead,2878,1432
1147,Marblehead,3155,1651
1148,Marblehead,3468,1539
1149,Salem,2480,1152
1150,Salem,2869,1066
1151,Salem,3214,1478
1152,Salem,928,384
1153,Salem,1453,624
1154,Salem,1805,798
1155,Salem,2491,1124
1156,Salem,3030,1297
1157,Salem,1251,276
1158,Salem,2265,926
1159,Salem,2852,1440
1160,Salem,2079,917
1161,Salem,2828,1192
1162,Salem,2017,988
1163,Salem,3971,1694
1164,Salem,3769,1665
