TAZ_ID,State,County,Town,RPA,Minority,Low_inc,Jobs30Hwy,Jobs60Trn,Retl30Hwy,Retl60Trn,HEdu20Hwy,HEdu40Trn,Heal20Hwy,Heal40Trn,TrnProdTm,TrnAttrTm,HwyProdTm,HwyAttrTm,JobsAccCmp,RetlAccCmp,HEduAccCmp,HealAccCmp,CongVMT_sqmi,TotalVMT_sqmi,TotalVHT_sqmi,CO_sqmi,NOX_sqmi,VOC_sqmi,CO2_sqmi
3151,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,156672,24384,13428,933,0,0,0,0,72.387558,71.641212,18.950377,19.144953,154122.75,13187.21777,0,0,2629.182779,80880.05255,5052.477496,89.507513,3.316747,2.31511,26366.79723
3152,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,158412,23946,13668,989,0,0,0,0,73.749123,72.482704,18.755108,18.835045,156080.6094,13448.1709,0,0,0,72970.69474,4416.951418,80.976839,2.995671,2.066712,23622.71742
3153,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,159493,19674,13900,746,0,0,0,0,73.247604,73.600479,18.52841,18.490566,156606.6719,13628.45703,0,0,0,50581.75041,3358.438725,57.528609,2.074862,1.484579,16820.36916
3154,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,167851,56000,14432,3188,0,0,0,0,58.681507,59.633392,20.506001,20.823124,163505.375,13995.14844,0,0,219936.8722,460013.1318,19474.12669,440.505157,19.23385,10.583741,124988.0558
3155,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,169837,67804,14771,4086,0,0,0,0,57.147976,54.127991,23.699163,24.022949,165439.5156,14310.49023,0,0,775067.8423,1481094.525,50041.36703,1472.187709,66.575277,30.742129,365724.7515
3156,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,144307,623,12340,102,0,0,0,0,106.685402,90.613037,20.948397,21.94558,143108.9844,12237.96387,0,0,1868.355631,17041.91569,1256.162421,20.486904,0.73808,0.564988,6281.591982
3157,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,155407,47198,13428,2490,0,0,0,0,58.737598,58.376881,17.595963,17.810484,151866.3281,13070.09961,0,0,102411.4874,152941.3156,9513.282264,166.099872,6.648451,4.573332,52239.76785
3158,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,156272,47540,13495,2339,0,0,0,0,59.893078,62.504749,17.838232,17.976276,153266.0938,13186.5918,0,0,164417.6671,222176.9781,11576.77697,226.025229,8.986405,5.758345,66981.34837
3159,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,158459,50275,13701,2805,0,0,0,0,57.064297,57.278072,17.698038,17.857735,154756.7188,13328.11621,0,0,42324.52966,72053.19156,3740.186134,73.384273,2.931467,1.85048,21614.93617
3160,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,160436,49214,13811,2607,0,0,0,0,60.49437,61.601658,18.894348,18.811781,156739.2188,13438.60352,0,0,2684.562655,9656.076715,562.008046,10.972917,0.382862,0.27268,3126.283083
3161,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,160604,32562,13834,1446,0,0,0,0,74.174522,69.220634,23.178066,23.528326,157010.0781,13486.29102,0,0,25693.56719,91450.96229,4939.223717,92.577515,3.513595,2.37544,27462.43601
3162,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,164196,54231,14101,2852,0,0,0,0,66.356735,64.180191,24.814707,25.345491,160606.1563,13733.77246,0,0,63474.8076,188939.3853,9454.782427,186.888524,8.062368,4.784421,56637.68432
3163,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,147051,44464,12590,2260,0,0,0,0,57.29932,57.973858,18.751579,18.919907,143647.25,12247.25879,0,0,72390.85049,95423.10911,5289.477138,99.338338,4.006455,2.567134,29807.51143
3164,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,148466,44740,12679,2259,0,0,0,0,56.423359,56.760204,17.643148,17.749426,144749.1406,12305.61426,0,0,58394.57803,152700.0431,10311.28392,172.94574,6.492961,4.590353,52086.54496
3165,MA,Worcester,Worcester,CMRPC,#N/A,#N/A,144592,45910,12478,2350,0,0,0,0,51.913036,52.909416,18.170446,18.312416,140175.9375,12024.76758,0,0,35178.82013,64461.0576,3575.514157,66.452529,2.723925,1.687139,19735.48216
